ts,sha256,keep_path,delete_path,action,backup_path,error
2025-11-14T01:13:29.143141,8a9ae81f4e30f420b90e2ff500d0ea04092e78722de80e30acfc4195f16b5943,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/camisa_miku.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/camisa_miku.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/camisa_miku.png,
2025-11-14T01:13:29.143303,8d0a96189f3c1df39d4f6239539efe9f63143cd01ac9bd550953f6afee8ceac1,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/base/167 sin título_20250923002615.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/base/base-man/167 sin título_20250923002615.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/base/base-man/167 sin título_20250923002615.png,
2025-11-14T01:13:29.143506,8dd8689a1b7cb35efe0f6cdcefaf6703b373b1528387eef9bdee7007c209cfb9,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/zapatos_beige.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/zapatos_beige.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/zapatos_beige.png,
2025-11-14T01:13:29.143689,a08f7027ba9480a3e95e0d12f0fc6767637ae898e8657f9a9e37010fc4f10931,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/camisa_cafe.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/camisa_cafe.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/camisa_cafe.png,
2025-11-14T01:13:29.143857,a3d9af3ae83beee4e764785bbfac67521e8a5e4a0409dc399f65c5f2ad136a1d,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/zapatos_rosados.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/zapatos_rosados.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/zapatos_rosados.png,
2025-11-14T01:13:29.144060,a6bd682204aba36a1796e62ad3af160ccf58116e5a2b8a7b1b4a87ea9e071a48,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/hair/female/hair_4.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/hair/male/hair_4.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/hair/male/hair_4.png,
2025-11-14T01:13:29.144227,b371c176f3a9251ff3b411edaa641fee824b120cd0dbed1b2566c8847328dc45,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/female/moño.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/moño.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/moño.png,
2025-11-14T01:13:29.144389,ba2ebf74473e1140f35b3a0a3151be0e075c5c77335380964993db6efee64f4b,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/female/collar_1.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/collar_1.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/collar_1.png,
2025-11-14T01:13:29.144538,cd936925b5adfb4a637ab21755f1bf08bc54f6ef90a0a47e613dafe26eeb201f,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/mouth/female/boca_3.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/mouth/male/boca_3.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/mouth/male/boca_3.png,
2025-11-14T01:13:29.144821,d332599c87056c06a5684ee4c5f0722d5064a374df73da767fc7d85373b13a8e,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/makeup/female/rubor.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/makeup/male/rubor.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/makeup/male/rubor.png,
2025-11-14T01:13:29.144999,e9b8bcd0fee5c739cd929fde8b2fa4c56f69379e5e02b9eb5869d04a4f41147a,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/base/167 sin título_20250923002534.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/base/base-woman/167 sin título_20250923002534.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/base/base-woman/167 sin título_20250923002534.png,
2025-11-14T01:13:29.145169,f6a9ee0e5954024b331a0abe45c7a89787a08e8566434a526288d6d7b951b196,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/female/gafas_2.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/gafas_2.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/gafas_2.png,
2025-11-14T01:13:29.145330,fcb56494cc3db0e3c83d6690e899211070b599a0b6d20a08837157887bdd60ee,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/eyes/female/ojos_6.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/eyes/male/ojos_6.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/eyes/male/ojos_6.png,
